### Printing all connections in the network
### From file: .\TopologyFiles\large_topo_file
### Data was parsed at: 2023-11-17 11:05:33.871588

Switch:
sysimgguid=0x2c900000085bf
Connected to: S-0002c900000089b4, Ports:=[39]=>[23]
Connected to: S-0002c900000089b4, Ports:=[40]=>[24]
Connected to: S-0002c900000089b8, Ports:=[41]=>[17]
Connected to: S-0002c900000089b8, Ports:=[42]=>[18]
Connected to: S-0002c900000089b8, Ports:=[43]=>[19]
Connected to: S-0002c900000089b8, Ports:=[44]=>[20]
Connected to: S-0002c900000089b8, Ports:=[45]=>[21]
Connected to: S-0002c900000089b8, Ports:=[46]=>[22]
Connected to: S-0002c900000089b8, Ports:=[47]=>[23]
Connected to: S-0002c900000089b8, Ports:=[48]=>[24]
Connected to: S-0002c900000089bc, Ports:=[49]=>[17]
Connected to: S-0002c900000089bc, Ports:=[50]=>[18]
Connected to: S-0002c900000089bc, Ports:=[51]=>[19]
Connected to: S-0002c900000089bc, Ports:=[52]=>[20]
Connected to: S-0002c900000089bc, Ports:=[53]=>[21]
Connected to: S-0002c900000089bc, Ports:=[54]=>[22]
Connected to: S-0002c900000089bc, Ports:=[55]=>[23]
Connected to: S-0002c900000089bc, Ports:=[56]=>[24]
Connected to: S-0002c900000089c0, Ports:=[57]=>[17]
Connected to: S-0002c900000089c0, Ports:=[58]=>[18]
Connected to: S-0002c900000089c0, Ports:=[59]=>[19]
Connected to: S-0002c900000089c0, Ports:=[60]=>[20]
Connected to: S-0002c900000089c0, Ports:=[61]=>[21]
Connected to: S-0002c900000089c0, Ports:=[62]=>[22]
Connected to: S-0002c900000089c0, Ports:=[63]=>[23]
Connected to: S-0002c900000089c0, Ports:=[64]=>[24]


Switch:
sysimgguid=0x2c900000085b7
Connected to: H-0002c9000000781d, Ports:=[1]=>[1]
Connected to: H-0002c9000000785d, Ports:=[2]=>[1]
Connected to: H-0002c9000000787d, Ports:=[3]=>[1]
Connected to: H-0002c9000000789d, Ports:=[4]=>[1]
Connected to: H-0002c900000078bd, Ports:=[5]=>[1]
Connected to: H-0002c900000078dd, Ports:=[6]=>[1]
Connected to: H-0002c900000078fd, Ports:=[7]=>[1]
Connected to: H-0002c9000000791d, Ports:=[8]=>[1]
Connected to: H-0002c9000000793d, Ports:=[9]=>[1]
Connected to: H-0002c9000000795d, Ports:=[10]=>[1]
Connected to: H-0002c9000000797d, Ports:=[11]=>[1]
Connected to: H-0002c900000079bd, Ports:=[12]=>[1]
Connected to: H-0002c900000079dd, Ports:=[13]=>[1]
Connected to: H-0002c900000079fd, Ports:=[14]=>[1]
Connected to: H-0002c90000007a1d, Ports:=[15]=>[1]
Connected to: H-0002c90000007a3d, Ports:=[16]=>[1]
Connected to: H-0002c90000007a5d, Ports:=[17]=>[1]
Connected to: H-0002c90000007a7d, Ports:=[18]=>[1]
Connected to: H-0002c90000007a9d, Ports:=[19]=>[1]
Connected to: H-0002c90000007abd, Ports:=[20]=>[1]
Connected to: H-0002c90000007add, Ports:=[21]=>[1]
Connected to: H-0002c90000007b1d, Ports:=[22]=>[1]
Connected to: H-0002c90000007b3d, Ports:=[23]=>[1]
Connected to: H-0002c90000007b5d, Ports:=[24]=>[1]
Connected to: H-0002c90000007b7d, Ports:=[25]=>[1]
Connected to: H-0002c90000007b9d, Ports:=[26]=>[1]
Connected to: H-0002c90000007bbd, Ports:=[27]=>[1]
Connected to: H-0002c90000007bdd, Ports:=[28]=>[1]
Connected to: H-0002c90000007bfd, Ports:=[29]=>[1]
Connected to: H-0002c90000007c1d, Ports:=[30]=>[1]
Connected to: H-0002c90000007c3d, Ports:=[31]=>[1]
Connected to: H-0002c90000007c7d, Ports:=[32]=>[1]
Connected to: S-0002c900000089b4, Ports:=[33]=>[9]
Connected to: S-0002c900000089b4, Ports:=[34]=>[10]
Connected to: S-0002c900000089b4, Ports:=[35]=>[11]
Connected to: S-0002c900000089b4, Ports:=[36]=>[12]
Connected to: S-0002c900000089b4, Ports:=[37]=>[13]
Connected to: S-0002c900000089b4, Ports:=[38]=>[14]
Connected to: S-0002c900000089b4, Ports:=[39]=>[15]
Connected to: S-0002c900000089b4, Ports:=[40]=>[16]
Connected to: S-0002c900000089b8, Ports:=[41]=>[9]
Connected to: S-0002c900000089b8, Ports:=[42]=>[10]
Connected to: S-0002c900000089b8, Ports:=[43]=>[11]
Connected to: S-0002c900000089b8, Ports:=[44]=>[12]
Connected to: S-0002c900000089b8, Ports:=[45]=>[13]
Connected to: S-0002c900000089b8, Ports:=[46]=>[14]
Connected to: S-0002c900000089b8, Ports:=[47]=>[15]
Connected to: S-0002c900000089b8, Ports:=[48]=>[16]
Connected to: S-0002c900000089bc, Ports:=[49]=>[9]
Connected to: S-0002c900000089bc, Ports:=[50]=>[10]
Connected to: S-0002c900000089bc, Ports:=[51]=>[11]
Connected to: S-0002c900000089bc, Ports:=[52]=>[12]
Connected to: S-0002c900000089bc, Ports:=[53]=>[13]
Connected to: S-0002c900000089bc, Ports:=[54]=>[14]
Connected to: S-0002c900000089bc, Ports:=[55]=>[15]
Connected to: S-0002c900000089bc, Ports:=[56]=>[16]
Connected to: S-0002c900000089c0, Ports:=[57]=>[9]
Connected to: S-0002c900000089c0, Ports:=[58]=>[10]
Connected to: S-0002c900000089c0, Ports:=[59]=>[11]
Connected to: S-0002c900000089c0, Ports:=[60]=>[12]
Connected to: S-0002c900000089c0, Ports:=[61]=>[13]
Connected to: S-0002c900000089c0, Ports:=[62]=>[14]
Connected to: S-0002c900000089c0, Ports:=[63]=>[15]
Connected to: S-0002c900000089c0, Ports:=[64]=>[16]


Switch:
sysimgguid=0x2c900000085b3
Connected to: H-0002c9000000739d, Ports:=[1]=>[1]
Connected to: H-0002c900000073bd, Ports:=[2]=>[1]
Connected to: H-0002c900000073dd, Ports:=[3]=>[1]
Connected to: H-0002c9000000743d, Ports:=[4]=>[1]
Connected to: H-0002c9000000745d, Ports:=[5]=>[1]
Connected to: H-0002c9000000747d, Ports:=[6]=>[1]
Connected to: H-0002c9000000749d, Ports:=[7]=>[1]
Connected to: H-0002c900000074bd, Ports:=[8]=>[1]
Connected to: H-0002c900000074dd, Ports:=[9]=>[1]
Connected to: H-0002c900000074fd, Ports:=[10]=>[1]
Connected to: H-0002c9000000751d, Ports:=[11]=>[1]
Connected to: H-0002c9000000753d, Ports:=[12]=>[1]
Connected to: H-0002c9000000755d, Ports:=[13]=>[1]
Connected to: H-0002c9000000759d, Ports:=[14]=>[1]
Connected to: H-0002c900000075bd, Ports:=[15]=>[1]
Connected to: H-0002c900000075dd, Ports:=[16]=>[1]
Connected to: H-0002c900000075fd, Ports:=[17]=>[1]
Connected to: H-0002c9000000761d, Ports:=[18]=>[1]
Connected to: H-0002c9000000763d, Ports:=[19]=>[1]
Connected to: H-0002c9000000765d, Ports:=[20]=>[1]
Connected to: H-0002c9000000767d, Ports:=[21]=>[1]
Connected to: H-0002c9000000769d, Ports:=[22]=>[1]
Connected to: H-0002c900000076bd, Ports:=[23]=>[1]
Connected to: H-0002c900000076fd, Ports:=[24]=>[1]
Connected to: H-0002c9000000771d, Ports:=[25]=>[1]
Connected to: H-0002c9000000773d, Ports:=[26]=>[1]
Connected to: H-0002c9000000775d, Ports:=[27]=>[1]
Connected to: H-0002c9000000777d, Ports:=[28]=>[1]
Connected to: H-0002c9000000779d, Ports:=[29]=>[1]
Connected to: H-0002c900000077bd, Ports:=[30]=>[1]
Connected to: H-0002c900000077dd, Ports:=[31]=>[1]
Connected to: H-0002c900000077fd, Ports:=[32]=>[1]
Connected to: S-0002c900000089b4, Ports:=[33]=>[1]
Connected to: S-0002c900000089b4, Ports:=[34]=>[2]
Connected to: S-0002c900000089b4, Ports:=[35]=>[3]
Connected to: S-0002c900000089b4, Ports:=[36]=>[4]
Connected to: S-0002c900000089b4, Ports:=[37]=>[5]
Connected to: S-0002c900000089b4, Ports:=[38]=>[6]
Connected to: S-0002c900000089b4, Ports:=[39]=>[7]
Connected to: S-0002c900000089b4, Ports:=[40]=>[8]
Connected to: S-0002c900000089b8, Ports:=[41]=>[1]
Connected to: S-0002c900000089b8, Ports:=[42]=>[2]
Connected to: S-0002c900000089b8, Ports:=[43]=>[3]
Connected to: S-0002c900000089b8, Ports:=[44]=>[4]
Connected to: S-0002c900000089b8, Ports:=[45]=>[5]
Connected to: S-0002c900000089b8, Ports:=[46]=>[6]
Connected to: S-0002c900000089b8, Ports:=[47]=>[7]
Connected to: S-0002c900000089b8, Ports:=[48]=>[8]
Connected to: S-0002c900000089bc, Ports:=[49]=>[1]
Connected to: S-0002c900000089bc, Ports:=[50]=>[2]
Connected to: S-0002c900000089bc, Ports:=[51]=>[3]
Connected to: S-0002c900000089bc, Ports:=[52]=>[4]
Connected to: S-0002c900000089bc, Ports:=[53]=>[5]
Connected to: S-0002c900000089bc, Ports:=[54]=>[6]
Connected to: S-0002c900000089bc, Ports:=[55]=>[7]
Connected to: S-0002c900000089bc, Ports:=[56]=>[8]
